sc_no	top1	top2	grow	sc
171	0.1437045063061415	0.16950271534485706	0.17952261694394056	OBSTETRICS & GYNECOLOGY
172	0.104748688710525	0.10270127800172513	-0.01954593163889562	OCEANOGRAPHY
174	0.14513300709450594	0.2233178535458502	0.5387116825908032	OPHTHALMOLOGY
175	0.14645311503943192	0.14974356656471666	0.022467610363895663	OPTICS
176	0.1360952317351527	0.11244450685459306	-0.17378070178523952	ORNITHOLOGY
177	0.1332044835142795	0.13401946965914535	0.006118308658720872	ORTHOPEDICS
178	0.11463408451331292	0.15144100368930768	0.32108180854116064	OTORHINOLARYNGOLOGY
180	0.13239322920584484	0.16883560921094842	0.27525863840395504	PARASITOLOGY
181	0.17471743688542152	0.21853494844888832	0.2507907186859777	PATHOLOGY
182	0.14588179932617185	0.18627860715624556	0.2769146529359152	PEDIATRICS
183	0.14322576401844855	0.16421699757430375	0.14656045788767003	PHARMACOLOGY & PHARMACY
185	0.14949102542465698	0.14929614870797758	-0.00130360144447339	PHYSICS, APPLIED
187	0.10885107274534334	0.11800690145460568	0.08411335302760281	PHYSICS, FLUIDS & PLASMAS
188	0.13050862779536077	0.14318215082762165	0.09710869883739126	PHYSICS, ATOMIC, MOLECULAR & CHEMICAL
189	0.17472618924427674	0.18917613363287455	0.0827005067248161	PHYSICS, MULTIDISCIPLINARY
190	0.16422307946261228	0.15405344716016867	-0.061925719184670824	PHYSICS, CONDENSED MATTER
191	0.12961733021129418	0.1426592471261846	0.1006186201615964	PHYSIOLOGY
192	0.13767861854520147	0.1695301577468329	0.23134702786964834	PHYSICS, NUCLEAR
193	0.10937817626814728	0.060008405971903045	-0.45136764920281014	PHYSICS, PARTICLES & FIELDS
195	0.12053428382983156	0.13974183267742524	0.15935340748952886	PHYSICS, MATHEMATICAL
198	0.15416482040110335	0.15539664060973057	0.007990280826859708	POLYMER SCIENCE
199	0.17464586720332098	0.22716471405282135	0.3007162304525559	PSYCHIATRY
206	0.13366994098655227	0.14943257774656737	0.11792207465402327	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING
207	0.12240230164667021	0.12276025358076481	0.0029243889149068725	REHABILITATION
208	0.1619919990598242	0.20583081876841614	0.2706233638884974	RESPIRATORY SYSTEM
209	0.11628959739440103	0.12800862536001967	0.10077451662226555	REPRODUCTIVE BIOLOGY
210	0.1561011294430248	0.231204513729532	0.48112005694308	RHEUMATOLOGY
217	0.1264772749350892	0.12968568667864677	0.025367495822504083	SOIL SCIENCE
219	0.1421868300090301	0.17059947764327577	0.19982615571668072	SPORT SCIENCES
220	0.18618676961707814	0.14805045521185878	-0.2048282726192231	STATISTICS & PROBABILITY
221	0.15969343264392855	0.18781953576720445	0.1761256092853185	SURGERY
225	0.1281863577953366	0.12897019391839515	0.006114817025303365	TOXICOLOGY
226	0.1867114606814504	0.2017964454361746	0.08079303059205767	TRANSPLANTATION
228	0.15519595295569866	0.1952615595990459	0.25816141387903424	TROPICAL MEDICINE
230	0.1693145023523882	0.21064421413358003	0.24410024662372853	UROLOGY & NEPHROLOGY
231	0.12681322761942893	0.12987049134665318	0.02410839771698914	VETERINARY SCIENCES
232	0.20039401974341164	0.3112697466083546	0.5532886011614038	PERIPHERAL VASCULAR DISEASE
233	0.13045464199019796	0.1516675504191891	0.1626075401025977	VIROLOGY
236	0.1243061347688954	0.11864349396649831	-0.04555399307463648	ZOOLOGY
238	0.13042265613977622	0.13945366041587037	0.0692441370494361	WATER RESOURCES
241	0.15252310557700866	0.15190152826178493	-0.004075299364461826	HEALTH CARE SCIENCES & SERVICES
244	0.09948551095464964	0.11697376234934409	0.17578691838519545	AGRICULTURAL ENGINEERING
245	0.16888156949941313	0.22451725464278693	0.3294360971909793	CRITICAL CARE MEDICINE
246	0.1700561829652063	0.15833881158389063	-0.06890294240999795	MATHEMATICAL & COMPUTATIONAL BIOLOGY
248	0.15795653872821824	0.14400221954210546	-0.08834277642739907	INTEGRATIVE & COMPLEMENTARY MEDICINE
249	0.08478169457375251	0.15280838310107103	0.8023747209740113	NEUROIMAGING
250	0.14400863109047934	0.13043302280193003	-0.09426940722754229	GERONTOLOGY
258	0.162654834197404	0.08305607262854298	-0.48937224621468667	PRIMARY HEALTH CARE
259	0.12268074137611107	0.10156673866244181	-0.17210527485270533	AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY
